tokenizer,batch_size,dataset,seed,n_sequences,exact_accuracy_pct,sbleu_mean,rougeL_mean,elapsed_sec
radbert,64,discharge,0,64,73.4375,0.7429446089472442,0.7494725243810954,133.94285702705383
radbert,64,discharge,1,64,59.375,0.6397099858114836,0.6512443278683253,130.30071449279785
radbert,64,discharge,2,64,73.4375,0.7345256547307546,0.7352195945945946,129.60067200660706
radbert,64,discharge,3,64,67.1875,0.6720367929368241,0.6740552325581395,128.97069239616394
radbert,64,discharge,4,64,76.5625,0.7663546923575343,0.7677556818181819,127.87798690795898
radbert,64,radiology,0,64,67.1875,0.6720697438508623,0.6730324074074074,121.99484014511108
radbert,64,radiology,1,64,62.5,0.625185364691949,0.6271551724137931,99.95424723625183
radbert,64,radiology,2,64,70.3125,0.7162351573128752,0.7188725490196077,122.72396874427795
radbert,64,radiology,3,64,62.5,0.6332869134313993,0.6375,122.21224045753479
radbert,64,radiology,4,64,75.0,0.7501754526296527,0.7510775862068966,121.56911611557007
radbert,128,discharge,0,128,53.90625,0.5676661951860801,0.5800619902745633,356.989289522171
radbert,128,discharge,1,128,50.78125,0.528431965330623,0.5309127580956625,358.01046895980835
radbert,128,discharge,2,128,50.0,0.5231808742382412,0.5277193907851963,358.1907706260681
radbert,128,discharge,3,128,50.0,0.52065485330822,0.5266362185519794,357.52500200271606
radbert,128,discharge,4,128,49.21875,0.5193361819361446,0.5220377604166667,357.2169027328491
radbert,128,radiology,0,128,44.53125,0.4776964604071745,0.4977906419501949,330.33020877838135
radbert,128,radiology,1,128,46.09375,0.47307435733050757,0.47863608511586453,330.25619292259216
radbert,128,radiology,2,128,50.0,0.5007719312892698,0.5036458333333333,330.24889755249023
radbert,128,radiology,3,128,49.21875,0.5034255457997701,0.5090379445822995,330.708801984787
radbert,128,radiology,4,128,42.1875,0.4554375082312768,0.46975597833493177,328.4331097602844
radbert,256,discharge,0,256,27.34375,0.3137650535934078,0.3345591920967112,886.787606716156
radbert,256,discharge,1,256,26.953125,0.3024328015045218,0.3160788586027417,887.7643811702728
radbert,256,discharge,2,256,31.25,0.3431198424697123,0.3563847585335096,887.8492817878723
radbert,256,discharge,3,256,27.734375,0.3027138103077421,0.3242476427843416,887.7078413963318
radbert,256,discharge,4,256,29.296875,0.3324011263601437,0.34800084670128556,889.1219289302826
radbert,256,radiology,0,256,27.734375,0.3062366194450817,0.3223996630158819,823.6461160182953
radbert,256,radiology,1,256,24.609375,0.29667063904802904,0.3142731179675737,822.9286603927612
radbert,256,radiology,2,256,28.125,0.31715872947527207,0.33026337087094526,822.7566289901733
radbert,256,radiology,3,256,29.296875,0.3221856224031981,0.33916221722276935,652.5948419570923
radbert,256,radiology,4,256,23.4375,0.26559304703451103,0.28071727325309026,493.9311468601227
